Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,W1 Epochs,W2 Epochs,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
140716.83-012244.4,2.663977699,1.158956093,-4.547472592,1.978365311,0.305405506,0.132865816,0.601031482,0.273277409,3.601426517,,,,0.240951346,,1.209021504,,3.604292269,,0.905026493,,2190.008621,5112.315806,25,23,0.508135621,0.199294508,0.026886507,0.067176878,0.018609462,0.026582925,0.05213035,
130451.41+245445.9,9.752789707,1.682934475,-7.205005363,1.243290616,0.489106573,0.084399883,0.21898977,0.038370427,2.811371919,1.252339043,-3.729144345,1.661165152,0.358708459,0.159788396,0.180320967,0.080796696,5.874577834,0.737642475,0.199655369,0.044722465,2717.422355,4363.108332,23,23,2.233467676,1.989277589,0.066316787,0.072470457,0.014615723,0.038513865,0.072070189,0.024120769
121449.54+572734.1,1.985454763,,,,0.145207534,,0.848416884,,,,,,,,,,1.985454763,,0.848416884,,2542.548349,,18,7,0.171151161,,0.028838691,0.050920304,,,,
143740.56+341442.6,5.697035678,1.214444504,-8.267212073,1.762332349,0.341338177,0.072763503,0.205591613,0.044123446,3.420193238,1.358242078,-3.721072692,1.477728641,0.233617552,0.092775223,0.119952688,0.047792819,5.27637842,0.733535712,0.162772151,0.032523192,2914.670515,2355.064739,25,25,1.660272865,1.9475808,0.042016016,0.064791031,0.013099536,0.030724826,0.074307116,0.015256875
141440.34+532057.1,3.548042648,,,,0.141653355,,0.64513013,,2.673432897,,,,0.218389959,,1.193816287,,3.110737772,,0.919473208,,1634.405238,1465.518337,24,21,0.219573306,0.18293431,0.019685707,0.039924367,,0.035486255,0.056394786,
142832.27+531022.0,3.548986316,,,,0.159460347,,0.951640999,,1.757926331,,,,0.204062116,,1.068235621,,2.653456323,,1.00993831,,4017.919458,2906.198079,24,18,0.167563553,0.191027253,0.019627767,0.032669064,,0.04101701,0.07081395,
121833.92+533148.3,3.979579446,1.933357108,-2.405087,1.16843805,0.099823023,0.048495966,0.376574332,0.192213805,2.423638472,1.179019085,-3.880499704,1.887733365,0.111586717,0.054283207,0.417750745,0.208138443,3.172201156,0.792809105,0.397162538,0.141657826,731.1225369,1820.222459,23,23,0.265081855,0.267113149,0.01738047,0.043099176,,0.023396762,0.042572625,
135628.71+052144.5,5.583271735,1.156325038,-9.616507639,1.991629476,0.549093087,0.113720076,0.562427167,0.121037097,4.477578606,1.197507937,-6.796506182,1.81769452,0.508974602,0.136122931,0.569640548,0.159653692,6.61846604,0.792216597,0.566033857,0.100173949,4177.226691,4380.780746,25,25,0.976291898,0.893501356,0.073449234,0.057099012,0.01512822,0.102256036,0.061552098,0.013335585
115758.72-002220.9,9.820204614,1.236798726,-13.49327598,1.699401102,1.627596078,0.204986437,0.323122212,0.041424493,12.08665705,1.915356854,-7.398865274,1.172488577,1.38131087,0.218894541,0.364582657,0.060503591,10.69975073,0.768966698,0.343852435,0.036662901,3111.03544,4731.438894,24,24,5.03709128,3.788745412,0.162057393,0.097695909,0.022743317,0.142051105,0.095309426,0.018940737
115758.72-002220.9,9.820204614,1.236798726,-13.49327598,1.699401102,1.627596078,0.204986437,0.323122212,0.041424493,12.08665705,1.915356854,-7.398865274,1.172488577,1.38131087,0.218894541,0.364582657,0.060503591,10.69975073,0.768966698,0.343852435,0.036662901,3111.03544,4731.438894,24,24,5.03709128,3.788745412,0.162057393,0.097695909,0.022743317,0.142051105,0.095309426,0.018940737
